year,date,state,event
2002,2002-06-04,Alabama,Primary
2002,2002-06-25,Alabama,"Run-off (Sen-D, CD1-Dem, CD1-Rep, CD7-Dem)"
2002,2002-08-27,Alaska,Primary
2002,2002-09-10,Arizona,Primary
2002,2002-05-21,Arkansas,Primary
2002,2002-03-05,California,Primary
2002,2002-08-13,Colorado,Primary
2002,2002-07-13 2002-07-13,Connecticut,STATE Conventions - Friday 12 July
2002,2002-07-20,Connecticut,CONGRESSIONAL DISTRICT Conventions
2002,2002-09-10,Connecticut,Primary
2002,2002-09-07,Delaware,Primary
2002,2002-09-10,District of Columbia,Primary
2002,2002-09-10,Florida,Primary
2002,2002-08-20,Georgia,Primary
2002,2002-09-10,Georgia,"Runoff: CD 4 Rep, CD 11 Rep, CD 12 Dem"
2002,2002-09-21,Hawaii,Primary
2002,2002-11-30,Hawaii,Special Election 107th House CD 2
2002,2002-05-28,Idaho,Primary
2002,2002-03-19,Illinois,Primary
2002,2002-05-07,Indiana,Primary
2002,2002-06-04,Iowa,Primary
2002,2002-08-06,Kansas,Primary
2002,2002-05-28,Kentucky,Primary
2002,2002-12-07,Louisiana,"Midterm Election Runoff (Senate 2, House 5)"
2002,2002-06-11,Maine,Primary
2002,2002-09-10,Maryland,Primary
2002,2002-09-17,Massachusetts,Primary
2002,2002-08-06,Michigan,Primary
2002,2002-09-10,Minnesota,Primary
2002,2002-06-04,Mississippi,First Party Primary
2002,2002-06-25,Mississippi,Second Party Primary (Runoff)
2002,2002-08-06,Missouri,Primary
2002,2002-06-04,Montana,Primary
2002,2002-05-14,Nebraska,Primary
2002,2002-09-03,Nevada,Primary
2002,2002-09-10,New Hampshire,Primary
2002,2002-06-04,New Jersey,Primary
2002,2002-06-04,New Mexico,Primary
2002,2002-09-10,New York,Primary
2002,2002-09-10,North Carolina,Primary
2002,2002-06-11,North Dakota,Primary
2002,2002-05-07,Ohio,Primary
2002,2001-12-11,Oklahoma,Special Primary 107th House CD 1
2002,2002-01-08,Oklahoma,Special 107th House CD 1
2002,2002-08-27,Oklahoma,Primary
2002,2002-09-17,Oklahoma,"Runoff: Governor Dem, Senate Dem, CD 4 Dem"
2002,2002-05-21,Oregon,Primary
2002,2002-05-21,Pennsylvania,Primary
2002,2002-09-10,Rhode Island,Primary
2002,2002-06-11,South Carolina,Primary
2002,2002-06-25,South Carolina,"Runoff (Gov-Rep, CD 3- Rep)"
2002,2002-06-04,South Dakota,Primary
2002,2002-08-01,Tennessee,Primary
2002,2002-03-12,Texas,Primary
2002,2002-04-09,Texas,"Runoff Primary (Senate-Dem, CDs 25-Dem, 26-Rep, 31-Rep)"
2002,2002-06-25,Utah,Primary
2002,2002-09-10,Vermont,Primary
2002,2002-06-11,Virginia,Primary
2002,2002-09-17,Washington,Primary
2002,2002-05-14,West Virginia,Primary
2002,2002-09-10,Wisconsin,Primary
2002,2002-08-20,Wyoming,Primary
2003,2003-10-07,California,Recall Election Governor
2003,2003-11-17,California,Gubernatorial Transition
2003,2003-01-04,Hawaii,Special Election (to fill Patsy Mink's seat) House CD 2
2003,2003-10-20,Indiana,(Confirmation) Lieutenant Governor
2003,2003-05-20,Kentucky,Primary
2003,2003-11-04,Kentucky,General Election
2003,2003-10-04,Louisiana,Open Primary
2003,2003-11-15,Louisiana,"Runoff Election- Governor, Commissioner of Insurance"
2003,2003-08-05,Mississippi,Primary
2003,2003-08-26,Mississippi,"Runoff: Treasurer (D & R), Agriculture (R)"
2003,2003-11-04,Mississippi,General Election
2003,2003-05-03,Texas,Special Election House CD 19
2003,2003-06-03,Texas,Special Runoff Election House CD 19
2003,2003-11-05,Utah,Gov./Lt. Gov. Transition
2004,2004-06-01,Alabama,Primary
2004,2004-06-29,Alabama,Runoff (CD 5 Republican)
2004,2004-08-24,Alaska,Primary
2004,2004-11-16,American Samoa,Runoff (Territorial Governor)
2004,2004-09-07,Arizona,Primary
2004,2004-05-18,Arkansas,Primary
2004,2004-03-02,California,Primary
2004,2004-08-10,Colorado,Primary
2004,2004-08-10,Connecticut,Primary
2004,2004-09-11,Delaware,Primary
2004,2004-09-14,District of Columbia,Primary
2004,2004-08-31,Florida,Primary
2004,2004-07-20,Georgia,Primary
2004,2004-08-10,Georgia,"Primary Runoff (Senate-Dem, CD 6-Rep, CD 8-Rep)"
2004,2004-09-04,Guam,Primary Election
2004,2004-09-18,Hawaii,Primary
2004,2004-05-25,Idaho,Primary
2004,2004-03-16,Illinois,Primary
2004,2004-05-04,Indiana,Primary
2004,2004-06-08,Iowa,Primary
2004,2004-08-03,Kansas,Primary
2004,2004-02-17,Kentucky,Special Election House CD 6
2004,2004-05-18,Kentucky,Primary
2004,2004-12-04,Louisiana,General Election Runoff (House CDs 3 and 7)
2004,2004-06-08,Maine,Primary
2004,2004-03-02,Maryland,Primary
2004,2004-09-14,Massachusetts,Primary
2004,2004-08-03,Michigan,Primary
2004,2004-09-14,Minnesota,Primary
2004,2004-03-09,Mississippi,First Party Primary
2004,2004-08-03,Missouri,Primary
2004,2004-06-08,Montana,Primary
2004,2004-05-11,Nebraska,Primary
2004,2004-09-07,Nevada,Primary
2004,2004-09-14,New Hampshire,Primary
2004,2004-06-08,New Jersey,Primary
2004,2004-06-01,New Mexico,Primary
2004,2004-09-14,New York,Primary
2004,2004-07-20,North Carolina,Primary & CD1 Special Election
2004,2004-08-17,North Carolina,"Second Primary (CD 5-Rep, CD 10-Rep, Public Instruction-Dem)"
2004,2004-06-08,North Dakota,Primary
2004,2004-03-02,Ohio,Primary
2004,2004-07-27,Oklahoma,Primary
2004,2004-08-24,Oklahoma,Runoff (no runoffs for statewide or federal offices)
2004,2004-05-18,Oregon,Primary
2004,2004-04-27,Pennsylvania,Primary
2004,2004-09-14,Rhode Island,Primary
2004,2004-06-08,South Carolina,Primary
2004,2004-06-22,South Carolina,Runoff (Senate Republican)
2004,2004-06-01,South Dakota,"Primary, Special Election US House"
2004,2004-08-05,Tennessee,Primary
2004,2004-03-09,Texas,Primary
2004,2004-04-13,Texas,"Runoff (GOP: CDs 1, 10, 15, 17, 28; Railroad)"
2004,2004-06-22,Utah,Primary
2004,2004-09-14,Vermont,Primary
2004,2004-09-11,Virgin Islands,Primary Election
2004,2004-06-08,Virginia,Primary
2004,2004-09-14,Washington,Primary
2004,2004-05-11,West Virginia,Primary
2004,2004-09-14,Wisconsin,Primary
2004,2004-08-17,Wyoming,Primary
2005,2005-03-08,California,Special Election House CD 5
2005,2005-10-04,California,Special Election House CD 48
2005,2005-12-06,California,Special Election Runoff House CD 48
2005,2006-09-30,Louisiana,Special Election Secretary of State
2005,2005-06-07,New Jersey,Primary
2005,2005-11-08,New Jersey,General Election
2005,2005-11-05,Northern Marianas,General Election
2005,2005-06-14,Ohio,Special Primary House CD 2
2005,2005-08-02,Ohio,Special Election House CD 2
2005,2005-06-14,Virginia,Primary
2005,2005-11-08,Virginia,General Election
2005,2005-02-15,Wisconsin,Spring Primary
2005,2005-04-05,Wisconsin,Spring Election
2006,2006-06-06,Alabama,Primary
2006,2006-07-18,Alabama,Runoff (revised date) for Rep. Lt. Gov. and Rep. Auditor
2006,2006-11-07,Alabama,General Election
2006,2006-08-22,Alaska,Primary
2006,2006-11-07,Alaska,General Election
2006,2006-11-07,American Samoa,General Election
2006,2006-09-12,Arizona,Primary
2006,2006-11-07,Arizona,General Election
2006,2006-05-23,Arkansas,Primary
2006,2006-06-13,Arkansas,"Runoff for Lt. Gov. (D), Attorney General (D), and Treasurer (D)"
2006,2006-11-07,Arkansas,General Election
2006,2006-04-11,California,Special Primary House CD 50
2006,2006-06-06,California,Primary / Special Election CD 50
2006,2006-11-07,California,General Election
2006,2006-08-08,Colorado,Primary
2006,2006-11-07,Colorado,General Election
2006,2006-08-08,Connecticut,Primary
2006,2006-11-07,Connecticut,General Election
2006,2006-09-12,Delaware,Primary
2006,2006-11-07,Delaware,General Election
2006,2006-09-12,District of Columbia,Primary
2006,2006-11-07,District of Columbia,General Election
2006,2006-09-05,Florida,Primary
2006,2006-11-07,Florida,General Election
2006,2006-07-18,Georgia,Primary
2006,2006-08-08,Georgia,"Runoff: Lt. Gov (D); Secretary of State (D,R); Comm of Agr (R); CD 4 (D)"
2006,2006-11-07,Georgia,General Election
2006,2006-12-05,Georgia,General Election Runoff (no Federal or Statewide runoffs)
2006,2006-09-02,Guam,Primary
2006,2006-11-07,Guam,General Election
2006,2006-09-23,Hawaii,Primary
2006,2006-11-07,Hawaii,General Election
2006,2006-05-23,Idaho,Primary
2006,2006-11-07,Idaho,General Election
2006,2006-03-21,Illinois,Primary
2006,2006-11-07,Illinois,General Election
2006,2006-05-02,Indiana,Primary
2006,2006-11-07,Indiana,General Election
2006,2006-06-06,Iowa,Primary
2006,2006-11-07,Iowa,General Election
2006,2006-08-01,Kansas,Primary
2006,2006-11-07,Kansas,General Election
2006,2006-05-16,Kentucky,Primary
2006,2006-11-07,Kentucky,General Election
2006,2006-09-30,Louisiana,Open Primary (Special Election) Secretary of State and Commissioner of Insurance
2006,2006-11-07,Louisiana,General Election (Open Primary: Congress/Runoff: SoS)
2006,2006-12-09,Louisiana,Congressional Run-Off/Tie House CD 2
2006,2006-06-13,Maine,Primary
2006,2006-11-07,Maine,General Election
2006,2006-09-12,Maryland,Primary
2006,2006-11-07,Maryland,General Election
2006,2006-09-19,Massachusetts,Primary
2006,2006-11-07,Massachusetts,General Election
2006,2006-08-08,Michigan,Primary
2006,2006-11-07,Michigan,General Election
2006,2006-09-12,Minnesota,Primary
2006,2006-11-07,Minnesota,General Election
2006,2006-06-06,Mississippi,Primary
2006,2006-06-27,Mississippi,Primary Runoff for Dem. Senate and Dem. CD 1
2006,2006-11-07,Mississippi,General Election
2006,2006-08-08,Missouri,Primary
2006,2006-11-07,Missouri,General Election
2006,2006-06-06,Montana,Primary
2006,2006-11-07,Montana,General Election
2006,2006-05-09,Nebraska,Primary
2006,2006-11-07,Nebraska,General Election
2006,2006-08-15,Nevada,Primary
2006,2006-11-07,Nevada,General Election
2006,2006-09-12,New Hampshire,Primary
2006,2006-11-07,New Hampshire,General Election
2006,2006-06-06,New Jersey,Primary / Special Primary CD 13
2006,2006-11-07,New Jersey,General Election / Special Election CD 13
2006,2006-06-06,New Mexico,Primary
2006,2006-11-07,New Mexico,General Election
2006,2006-09-12,New York,Primary
2006,2006-11-07,New York,General Election
2006,2006-05-02,North Carolina,First Primary
2006,2006-11-07,North Carolina,General Election
2006,2006-06-13,North Dakota,Primary
2006,2006-11-07,North Dakota,General Election
2006,2006-05-02,Ohio,Primary
2006,2006-09-14,Ohio,Special Republican Primary House CD 18
2006,2006-09-15,Ohio,Special Democratic Primary House CD 3
2006,2006-11-07,Ohio,General Election
2006,2006-07-25,Oklahoma,Primary
2006,2006-08-22 2006-08-22,Oklahoma,"Runoff - Lt. Gov. (D, R); CD 5 (R)"
2006,2006-11-07,Oklahoma,General Election
2006,2006-05-16,Oregon,Primary
2006,2006-11-07,Oregon,General Election
2006,2006-05-16,Pennsylvania,Primary
2006,2006-11-07,Pennsylvania,General Election
2006,2006-09-12,Rhode Island,Primary
2006,2006-11-07,Rhode Island,General Election
2006,2006-06-13,South Carolina,Primary
2006,2006-06-27,South Carolina,"Runoff for Lt. Gov (R), Treasurer (R), CD 1 (D)"
2006,2006-11-07,South Carolina,General Election
2006,2006-06-06,South Dakota,Primary
2006,2006-11-07,South Dakota,General Election
2006,2006-08-03,Tennessee,Primary
2006,2006-11-07,Tennessee,General Election
2006,2006-03-07,Texas,Primary
2006,2006-04-11 2006-04-11,Texas,"Runoff - Senate (D), Lt Gov. (D), CD 10 (D), CD 30 (R)"
2006,2006-11-07,Texas,"General Election / Nonpartisan Primary CDs 15, 21, 23, 25, 28 / Special Election CD 22"
2006,2006-12-12,Texas,Nonpartisan Runoff House CD 23
2006,2006-06-27,Utah,Primary
2006,2006-11-07,Utah,General Election
2006,2006-09-12,Vermont,Primary
2006,2006-11-07,Vermont,General Election
2006,2006-09-09,Virgin Islands,Primary
2006,2006-11-07,Virgin Islands,General Election
2006,2006-11-21,Virgin Islands,Runoff election for Governor
2006,2006-06-13,Virginia,Primary
2006,2006-11-07,Virginia,General Election
2006,2006-09-19,Washington,Primary
2006,2006-11-07,Washington,General Election
2006,2006-05-09,West Virginia,Primary
2006,2006-11-07,West Virginia,General Election
2006,2006-09-12,Wisconsin,Primary
2006,2006-11-07,Wisconsin,General Election
2006,2006-08-22,Wyoming,Primary
2006,2006-11-07,Wyoming,General Election
2007,2007-06-26,California,Special Primary House CD 37
2007,2007-08-21,California,Special General House CD 37
2007,2007-06-19,Georgia,Special Election House CD 10
2007,2007-07-17,Georgia,Special Election Runoff House CD 10
2007,2007-05-22,Kentucky,Primary
2007,2007-11-06,Kentucky,General Election
2007,2007-10-20,Louisiana,Primary
2007,2007-11-17,Louisiana,General Election: Attorney General and Agriculture
2007,2007-09-04,Massachusetts,Special Primary House CD 5
2007,2007-10-16,Massachusetts,Special Election House CD 5
2007,2007-08-07,Mississippi,Primary
2007,2007-08-28,Mississippi,Second Primary (Runoff) Auditor-D
2007,2007-11-06,Mississippi,General
2007,2007-11-06,Ohio,Special Party Primary House CD 5
2007,2007-12-11,Ohio,Special General Election House CD 5
2007,2007-12-11,Virginia,Special Election House CD 1
2008,2008-06-03,Alabama,Primary
2008,2008-07-15,Alabama,"Runoff (CD 2 R, CD 5 R)"
2008,2008-11-04,Alabama,General Election
2008,2008-08-26,Alaska,Primary
2008,2008-11-04,Alaska,General Election
2008,2008-11-04,American Samoa,General Election
2008,2008-11-18,American Samoa,Gubernatoral Runoff
2008,2008-09-02,Arizona,Primary Election
2008,2008-11-04,Arizona,General Election
2008,2008-05-20,Arkansas,Primary
2008,2008-06-10,Arkansas,Runoff (if necessary)
2008,2008-11-04,Arkansas,General Election
2008,2008-04-08,California,Special Primary House CD 12
2008,2008-06-03,California,Primary
2008,2008-11-04,California,General Election
2008,2008-08-12,Colorado,Primary
2008,2008-11-04,Colorado,General Election
2008,2008-08-12,Connecticut,Primary
2008,2008-11-04,Connecticut,General Election
2008,2008-09-09,Delaware,Primary
2008,2008-11-04,Delaware,General Election
2008,2008-09-09,District of Columbia,Primary
2008,2008-11-04,District of Columbia,General Election
2008,2008-08-26,Florida,Primary
2008,2008-11-04,Florida,General Election
2008,2008-07-15,Georgia,Primary
2008,2008-08-05,Georgia,Primary Runoff (Senate-D)
2008,2008-11-04,Georgia,General Election
2008,2008-12-02,Georgia,General Election Runoff (Senate)
2008,2008-09-06,Guam,Primary
2008,2008-11-04,Guam,General Election
2008,2008-09-20,Hawaii,Primary
2008,2008-11-04,Hawaii,General Election
2008,2008-05-27,Idaho,Primary
2008,2008-11-04,Idaho,General Election
2008,2008-02-05,Illinois,Primary & Special Primary CD 14
2008,2008-03-08,Illinois,Special Election House CD 14
2008,2008-11-04,Illinois,General Election
2008,2008-03-11,Indiana,Special Election House CD 7
2008,2008-05-06,Indiana,Primary
2008,2008-11-04,Indiana,General Election
2008,2008-06-03,Iowa,Primary
2008,2008-11-04,Iowa,General Election
2008,2008-08-05,Kansas,Primary
2008,2008-11-04,Kansas,General Election
2008,2008-05-20,Kentucky,Primary
2008,2008-11-04,Kentucky,General Election
2008,2008-03-08,Louisiana,First Special Party Primary House CDs 1 & 6
2008,2008-04-05,Louisiana,Second Special Party Primary (Runoff) House CD 1 (R) & CD 6 (D & R)
2008,2008-05-03,Louisiana,Special General House CDs 1 & 6
2008,2008-10-04,Louisiana,First Party Primary
2008,2008-11-04,Louisiana,"Second Party Primary (CD 2 Dem, CD 4 Dem and Rep) / General Election (President, Senate, CDs 1,3,5,6,7)"
2008,2008-12-06,Louisiana,Open General (CDs 2 and 4)
2008,2008-06-10,Maine,Primary
2008,2008-11-04,Maine,General Election
2008,2008-02-12,Maryland,Primary
2008,2008-06-17,Maryland,Special Election House CD 4
2008,2008-11-04,Maryland,General Election
2008,2008-09-16,Massachusetts,Primary
2008,2008-11-04,Massachusetts,General Election
2008,2008-08-05,Michigan,Primary
2008,2008-11-04,Michigan,General Election
2008,2008-09-09,Minnesota,Primary
2008,2008-11-04,Minnesota,General Election
2008,2008-03-11,Mississippi,Primary
2008,2008-04-01,Mississippi,Primary Run-off (CD 1 D & R; CD 3 R)
2008,2008-04-22,Mississippi,Special Primary House CD 1
2008,2008-05-13,Mississippi,Special Runoff House CD 1
2008,2008-11-04,Mississippi,General Election / Special Senate Class 1
2008,2008-11-25,Mississippi,Special Runoff Senate Class 1
2008,2008-08-05,Missouri,Primary
2008,2008-11-04,Missouri,General Election
2008,2008-06-03,Montana,Primary
2008,2008-11-04,Montana,General Election
2008,2008-05-13,Nebraska,Primary
2008,2008-11-04,Nebraska,General Election
2008,2008-08-12,Nevada,Primary
2008,2008-11-04,Nevada,General Election
2008,2008-09-09,New Hampshire,Primary
2008,2008-11-04,New Hampshire,General Election
2008,2008-06-03,New Jersey,Primary
2008,2008-11-04,New Jersey,General Election
2008,2008-06-03,New Mexico,Primary
2008,2008-11-04,New Mexico,General Election
2008,2008-09-09,New York,Primary
2008,2008-11-04,New York,General Election
2008,2008-05-06,North Carolina,Primary
2008,2008-06-24 2008-06-24,North Carolina,Runoff - Commissioner of Labor (D)
2008,2008-11-04,North Carolina,General Election
2008,2008-06-10,North Dakota,Primary
2008,2008-11-04,North Dakota,General Election
2008,2008-11-04,Northern Marianas,General Election
2008,2008-03-04,Ohio,Primary
2008,2008-10-14,Ohio,Special Primary House CD 11
2008,2008-11-04,Ohio,"General Election, Special Election AG"
2008,2008-11-18,Ohio,Special Election House CD 11
2008,2008-07-29,Oklahoma,Primary
2008,2008-08-26,Oklahoma,Runoff Primary (no runoffs for Federal or Statewide offices)
2008,2008-11-04,Oklahoma,General Election
2008,2008-05-20,Oregon,Primary
2008,2008-11-04,Oregon,General Election / Special Election Labor Commissioner
2008,2008-04-22,Pennsylvania,Primary
2008,2008-11-04,Pennsylvania,General Election
2008,2008-03-09,Puerto Rico,Primary
2008,2008-11-04,Puerto Rico,General Election
2008,2008-09-09,Rhode Island,Primary
2008,2008-11-04,Rhode Island,General Election
2008,2008-06-10,South Carolina,Primary
2008,2008-06-24,South Carolina,Runoff (CD 4-R)
2008,2008-11-04,South Carolina,General Election
2008,2008-06-03,South Dakota,Primary
2008,2008-06-17,South Dakota,Secondary Election
2008,2008-11-04,South Dakota,General Election
2008,2008-08-07,Tennessee,Primary
2008,2008-11-04,Tennessee,General Election
2008,2008-03-04,Texas,Primary
2008,2008-04-08,Texas,Run-off (CD 22-R; CD 32-D; Railroad Commissioner-D)
2008,2008-11-04,Texas,General Election
2008,2008-06-24,Utah,Primary
2008,2008-11-04,Utah,General Election
2008,2008-09-09,Vermont,Primary
2008,2008-11-04,Vermont,General Election
2008,2008-09-13,Virgin Islands,Primary
2008,2008-11-04,Virgin Islands,General Election
2008,2008-11-18,Virgin Islands,Run-off Election (no offices on this site are affected)
2008,2008-06-10,Virginia,Primary
2008,2008-11-04,Virginia,General Election
2008,2008-08-19,Washington,Primary
2008,2008-11-04,Washington,General Election
2008,2008-05-13,West Virginia,Primary
2008,2008-11-04,West Virginia,General Election
2008,2008-09-09,Wisconsin,Primary
2008,2008-11-04,Wisconsin,General Election
2008,2008-08-19,Wyoming,Primary
2008,2008-11-04,Wyoming,General Election
2009,2009-05-19,California,Special Primary House CD 32
2009,2009-07-14,California,Special General Election House CD 32
2009,2009-09-01,California,Special Primary House CD 10
2009,2009-11-03,California,Special Election House CD 10
2009,2009-03-03,Illinois,Special Primary House CD 5
2009,2009-04-07,Illinois,Special Election House CD 5
2009,2009-12-08,Massachusetts,Special Primary Senate Class 1
2009,2009-06-02,New Jersey,Primary
2009,2009-11-03,New Jersey,General Election
2009,2009-03-31,New York,Special Election House CD 20
2009,2009-11-03,New York,Special Election House CD 23
2009,2009-06-27,Northern Marianas,CNMI GOP Open Primary
2009,2009-11-07,Northern Marianas,General Election
2009,2009-11-23,Northern Marianas,Gubernatorial Runoff
2009,2009-06-09,Virginia,Primary
2009,2009-11-03,Virginia,General Election
2009,2009-02-17,Wisconsin,Spring Primary
2009,2009-04-07,Wisconsin,Spring Election
2010,2010-06-01,Alabama,Primary
2010,2010-07-13,Alabama,"Runoff (Gov-R, CD 2-R, CD 7-D, CD 7-R, AG-D, Agri-R)"
2010,2010-11-02,Alabama,General Election
2010,2010-08-24,Alaska,Primary
2010,2010-11-02,Alaska,General Election
2010,2010-11-02,American Samoa,General Election
2010,2010-11-16,American Samoa,Runoff
2010,2010-08-24,Arizona,Primary
2010,2010-11-02,Arizona,General Election
2010,2010-05-18,Arkansas,Primary
2010,2010-06-08,Arkansas,"Runoff (Sen-D, CD 1-D, CD 2-D, CD 3-R, Land-D)"
2010,2010-11-02,Arkansas,General Election
2010,2010-06-08,California,Primary
2010,2010-11-02,California,General Election
2010,2010-08-10,Colorado,Primary
2010,2010-11-02,Colorado,General Election
2010,2010-08-10,Connecticut,Primary
2010,2010-11-02,Connecticut,General Election
2010,2010-09-14,Delaware,Primary
2010,2010-11-02,Delaware,General Election
2010,2010-09-14,District of Columbia,Primary
2010,2010-11-02,District of Columbia,General Election
2010,2010-02-02,Florida,Special Primary House CD 19
2010,2010-04-13,Florida,Special Election House CD 19
2010,2010-08-24,Florida,Primary
2010,2010-11-02,Florida,General Election
2010,2010-05-11,Georgia,Special Election House CD 9
2010,2010-06-08,Georgia,Special Election Runoff House CD 9
2010,2010-07-20,Georgia,Primary
2010,2010-08-10,Georgia,"Primary Runoff (Gov-R, CD 7-R, CD 9-R, CD 12-R, CD 13-R,  SoS-D, AG-R, INS-R)"
2010,2010-11-02,Georgia,General Election
2010,2010-11-30,Georgia,General Election Runoff
2010,2010-09-04,Guam,Primary Election
2010,2010-11-02,Guam,General Election
2010,2010-05-22,Hawaii,Special Election House CD 1
2010,2010-09-18,Hawaii,Primary
2010,2010-11-02,Hawaii,General Election
2010,2010-05-25,Idaho,Primary
2010,2010-11-02,Idaho,General Election
2010,2010-02-02,Illinois,Primary
2010,2010-11-02,Illinois,General Election and U.S. Senate 3 Special
2010,2010-05-04,Indiana,Primary
2010,2010-11-02,Indiana,General Election & Special Election CD 3
2010,2010-06-08,Iowa,Primary
2010,2010-11-02,Iowa,General Election
2010,2010-08-03,Kansas,Primary
2010,2010-11-02,Kansas,General Election
2010,2010-05-18,Kentucky,Primary
2010,2010-11-02,Kentucky,General Election
2010,2010-08-28,Louisiana,First Party Primary
2010,2010-10-02,Louisiana,Second Party Primary (CD 3 R runoff) & Lt. Gov.
2010,2010-11-02,Louisiana,Open General Election
2010,2010-06-08,Maine,Primary
2010,2010-11-02,Maine,General Election
2010,2010-09-14,Maryland,Primary
2010,2010-11-02,Maryland,General Election
2010,2010-01-19,Massachusetts,Special Election Senate Class 1
2010,2010-09-14,Massachusetts,Primary
2010,2010-11-02,Massachusetts,General Election
2010,2010-08-03,Michigan,Primary
2010,2010-11-02,Michigan,General Election
2010,2010-08-10,Minnesota,Primary
2010,2010-11-02,Minnesota,General Election
2010,2010-06-01,Mississippi,Primary
2010,2010-06-22,Mississippi,Primary Runoff (CD 2-R)
2010,2010-11-02,Mississippi,General Election
2010,2010-08-03,Missouri,Primary
2010,2010-11-02,Missouri,General Election
2010,2010-06-08,Montana,Primary
2010,2010-11-02,Montana,General Election
2010,2010-05-11,Nebraska,Primary
2010,2010-11-02,Nebraska,General Election
2010,2010-06-08,Nevada,Primary
2010,2010-11-02,Nevada,General Election
2010,2010-09-14,New Hampshire,Primary
2010,2010-11-02,New Hampshire,General Election
2010,2010-06-08,New Jersey,Primary
2010,2010-11-02,New Jersey,General Election
2010,2010-06-01,New Mexico,Primary
2010,2010-11-02,New Mexico,General Election
2010,2010-09-14,New York,Primary
2010,2010-11-02,New York,General Election
2010,2010-11-02,New York,Special Election House CD 29
2010,2010-05-04,North Carolina,Primary
2010,2010-06-22,North Carolina,"Second Primary (Senate D, CD 8 R, CD 12 R, CD 13 R)"
2010,2010-11-02,North Carolina,General Election
2010,2010-06-08,North Dakota,Primary
2010,2010-11-02,North Dakota,General Election
2010,2010-11-02,Northern Marianas,General Election
2010,2010-05-04,Ohio,Primary
2010,2010-07-13,Ohio,Special Democratic Primary House CD 3
2010,2010-11-02,Ohio,General Election
2010,2010-07-27,Oklahoma,Primary
2010,2010-08-24,Oklahoma,"Runoff (US House CD 2-R, CD 5-R, Ins Comm-R)"
2010,2010-11-02,Oklahoma,General Election
2010,2010-05-18,Oregon,Primary
2010,2010-11-02,Oregon,General Election
2010,2010-05-18,Pennsylvania,Primary
2010,2010-05-18,Pennsylvania,Special Election House CD 12
2010,2010-11-02,Pennsylvania,General Election
2010,2010-11-02,Puerto Rico,General Election (no elections covered by this site)
2010,2010-09-14,Rhode Island,Primary
2010,2010-11-02,Rhode Island,General Election
2010,2010-06-08,South Carolina,Primary
2010,2010-06-22,South Carolina,"Runoff (Gov-R, LGov-R, CD 1-R, CD 3-R, CD 4-R, CD 6-R, AG-R, SOE-R)"
2010,2010-11-02,South Carolina,General Election
2010,2010-06-08,South Dakota,Primary
2010,2010-06-29,South Dakota,Secondary Election (no offices covered by this site have runoffs)
2010,2010-11-02,South Dakota,General Election
